"date","close","volume","open","high","low"
"2014/08/22","479.1900","1961175.0000","470.9400","479.5495","470.0500"
"2014/08/21","472.0500","1677507.0000","471.2800","476.1500","467.6710"
"2014/08/20","472.1900","1737151.0000","467.0000","473.7500","464.5410"
"2014/08/19","468.1500","1556269.0000","467.0900","470.4999","462.4300"
"2014/08/18","466.0000","1927412.0000","462.0600","469.5000","461.2500"
"2014/08/15","459.0900","3147810.0000","451.4900","462.0000","448.6000"
"2014/08/14","450.8700","950864.0000","452.2100","455.0000","448.2200"
"2014/08/13","451.5300","1293129.0000","448.6000","454.2150","446.8200"
"2014/08/12","446.4100","1546841.0000","451.3500","453.0000","443.4100"
"2014/08/11","451.5400","1892320.0000","449.2200","457.6500","448.7100"
"2014/08/08","445.8500","2213503.0000","450.2000","450.9700","442.0500"
"2014/08/07","449.6700","3898778.0000","435.3000","449.9499","434.5500"
"2014/08/06","430.3000","2260420.0000","421.0000","434.9000","420.5500"
"2014/08/05","422.8500","1523309.0000","421.3000","428.0000","420.3100"
"2014/08/04","422.7000","1526433.0000","427.2000","430.0000","420.7800"
"2014/08/01","425.4000","2691472.0000","421.7600","427.7264","412.5100"
"2014/07/31","422.7200","1974125.0000","430.2600","432.9700","421.2900"
"2014/07/30","434.3600","2180427.0000","424.7500","435.2899","424.3100"
